index,isbn13,title,tags
1685,9780321432872,Andrew Carnegie and the Rise of Big Business,"biography&autobiography.a biographi of scotsman andrew carnegi that discuss how hi actions, as founder of carnegi steel, contribut to the reorgan of the pattern of industri activity.haroldc.livesay"
1686,9780325001531,The Power of One,"performingarts.thi book demonstr techniqu of writing, acting, and direct that encourag the reader to creat a person theatric experience.louise.catron"
1690,9780330281720,Running in the Family,"authors,canadian.in michael ondaatje' belov famili memoir, fact and fiction blur to creat a dazzlingli origin portrait of a lost time and place. ondaatj left ceylon (now sri lanka) at the age of eleven. almost twenty-f year later, he return to sort out the recollect fragment of experience, legend, and famili scandal, and to reconstruct the carefree, doom life hi parent and grandpar had led in a place where coupl danc the tango in the moonlight, where drink, gambling, and romanc were the main occup of the upper class. rich with eccentr charact and captiv stories, and set against the exot landscap of a coloni empir in decline, run in the famili is ondaatje' unforgett journey through memori and imagin to reclaim hi past.michaelondaatj"
1691,9780330301749,The Circus of Adventure,juvenilefiction.when bill come home with a strang guest it prove to be the begin of an adventur involv a travel circu and a castl with secret passages.enidblyton
1692,9780330301756,The Island of Adventure,abandonedmines.someth veri sinist is happen on the mysteri isl of gloom and the children are determin to uncov the truth!enidblyton
1694,9780330304214,A Gift of Wings,"airpilots.thes stories, inspir by bach' lifelong passion for flight, fill with memori of friend from the past and friend not yet met, are woven togeth with warmth, honesti and courage. with sign and signals, coincid and tangent turn up at everi juncture, bach show how truli complex and beauti life can be, and also how it troubl can in fact knock us onto better path or teach us lesson we benefit from in other situations. draw on the allegor power of flight, each a mini-parable, these stori will inspir you with their simpl experi made technicolour by the prism of bach' extraordinari imagination. celebr richard bach' uniqu vision, these transcend their page to touch the real drama of life with magic that reach out to us all across it limitless horizons.richardbach"
1695,9780330314916,The Orchard Keeper,"communitylife.set in a small, remot commun in rural tennessee, thi book tell of john wesley rattner, a young boy, and marion sylder, an outlaw and bootlegg who, unbeknownst of either of them, ha kill the boy' father. togeth with rattner' uncl ather, the three enact a drama.cormacmccarthi"
1696,9780330316255,The Real Frank Zappa Book,"rockmusicians.th legendari frank zappa, one of the most influential, innov and controversi music artist for the past 20 years, take us on a wild, funni trip through hi life and times. along the way, zappa offer hi inimit view on mani thing such as art, polit and beer.frankzappa;peterocchiogrosso"
1697,9780330332651,A Dangerous Fortune,"banksandbanking,british.th mysteri death of a student at an exclus english board school haunt those involv for the rest of their lives.kenfollett"
1698,9780330334617,The Border Trilogy,"fiction.cormac mccarthy’ award-winning, bestsel trio of novel chronicl the coming-of-ag of two young men in the south west of america. john gradi cole and billi parham, two cowboy of the old school, are pois on the edg of a world about to chang forever. their journey across the border into mexico, each an adventur fraught with fear and pain, mark a passag into adulthood, and eventu salvation. in all the pretti horses, young john gradi cole, dispossess by the sale of hi family’ texa ranch, head across the border in search of the cowboy life, where he find a job break horses, and a danger ill-fat romance. in the crossing, sixteen-year-old billi parham captur a wolf that ha been maraud hi family’ ranch and, instead of kill it, decid to take it on a peril journey home to the mountain of mexico.thes two drifter come togeth year later in citi of the plain, a magnific tale of friendship and passion. in the vanish world of the old west, blood and violenc are condit of life. beauti and brutal, fill with sorrow and humour, the border trilog is both an epic love stori and a fierc elegi for the american frontier.cormacmccarthi"
1699,9780330334686,Misreadings,"literarycriticism.in an upside-down lolita, umberto umberto pursu a granni with ‘white lascivi locks’. professor anouk ooma of princ joseph’ land univers address hi colleagu on recent archaeolog find that shed light on the poetri of itali befor the explosion. columbus’ land in the new world is cover by televis reporters, comment and guest experts. we are permit to see in-hous publisher’ readers’ reports, most of them unfavourable, on such submiss as the odyssey, don quixote, kant’ critiqu of pure reason, and the five book of moses; and we hear a diatribe, in ancient greece, against the vulgar of such upstart as herodotus, thucydid and plato. ‘for sheer exuber good humour, noth could surpass misreadings, a collect of parodi and squib that began appear in the 1950 and 1960s, but whose panach ha not fade one bit’ marina warner, book of the year, independ on sunday ‘made up of vintage, good-humour game – parodi of think-pieces, spoof essay and carniv pranks’ lorna sage, book of the year, observerumbertoeco"
1700,9780330338813,Vurt,"brothersandsisters.winn of the 1994 arthur c. clark award, vurt is a dark tale of england a few year from now. scribbl and hi fellow stash rider are hook on vurt feathers, the most power drug available. it let them escap but it ha it dangers.jeffnoon"
1701,9780330340199,In Pharaoh's Army,"authors,american.hav surviv the extraordinari childhood record in thi boy’ life, tobia wolff find himself serv in vietnam and assign to a unit in the mekong delta. a young offic out of hi depth, he live in boredom and terror and grief for lost friends. much ha been written about the scar vietnam experience, but never with thi blend of exactitude, humanity, grotesqu humour and pain truth. ‘an outstand addit to the librari on the vietnam war . . . wolff make it so funny, move and memor you feel it ha never been written about before’ tibor fischer, financi time ‘in pharaoh’ armi ha an irresist flow. he is a lucid, self-honest spirit with a gift for narrative. i read him at a sit and wa sad to run out of pages’ ian mcewan, financi time book of the year ‘wolff is a fine judg of difficult material. alway entertaining, alway thoughtful, thi book is a worthi successor to thi boy’ life ’ erica wagner, the time ‘wolff’ book is funny, self-chasten and unforgettable’ nick hornby, sunday time book of the year ‘the finest piec of prose i read thi year . . .wolff cannot be parodied, as sure a sign of great as there is’ will self, independ on sunday book of the yeartobiaswolff"
1702,9780330340328,The Reality Dysfunction,"englishfiction.in ad 2600 the human race is final begin to realiz it full potential. hundr of colon planet scatter across the galaxi host a multitud of prosper and wildli divers cultures. genet engin ha push evolut far beyond nature' boundaries, defeat diseas and produc extraordinari spaceborn creatures. huge fleet of sentient trader starship thrive on the wealth creat by the industri of entir star systems. and throughout inhabit space the confeder navi keep the peace. a true golden age is within our grasp. but now someth ha gone catastroph wrong. on a primit coloni planet a renegad criminal' chanc encount with an utterli alien entiti unleash the most primal of all our fears. an extinct race which inhabit the galaxi aeon ago call it ""the realiti dysfunction."" it is the nightmar which ha prowl besid us sinc the begin of history. 'absolut vintag science-fiction. hamilton put british sci-fi back into interstellar overdrive' ""the times""peterf.hamilton"
1703,9780330345040,Paper Money,"conspiracies.thre seemingli unrel event occur on a singl morn in london. an mp wake up after spend the night with a beauti young woman. a tycoon meet a lead bank of england offici for breakfast. and an underworld gang boss brief hi crew. noth so far to keep the tabloid editor awake. until ambiti young report kevin hart uncov hi first promis link... becaus what is at stake is conspiracy: conspiraci to defraud, no matter what the human cost. on one unforgett day in the world' financi capital, fortun will be destroy and ideal will be shatter by the discoveri that the whole truth is too danger to print...kenfollett"
1704,9780330346511,An Unquiet Mind,"biography&autobiography.in thi book, a world author on manic-depress reveal her own struggl sinc girlhood with thi cruel disease. she describ how she master it and how it shape her life.kayredfieldjamison"
1705,9780330347761,The Golden Key,"families.in tira vert births, marriages, treati and all offici document are painted, not written. the paint by certain male of the grijalva famili are also magical. thi book tell the stori of one such painter-magician' obsess with power, with life, and with a love he can never claim.melanierawn;jenniferroberson;kateelliott"
1706,9780330351690,Into the Wild,"truecrime.us the true stori of a young man, who in 1992 walk deep into the alaskan wilder and whose so note and emaci corps were found four month later, krakauer explor the obsess which lead some peopl to explor the outer limit of self, leav civil behind and seek enlighten through solitud and contact with nature.jonkrakau"
1707,9780330351829,A Second Chance at Eden,sciencefiction.thi novella and six stori are set in the same univers and time-lin as the night' dawn trilogy.peterf.hamilton
1708,9780330353823,The Memoirs of Cleopatra,"egypt.th bestsel author of ""the autobiographi of henri viii"" and ""mari queen of scotland and the isles"" bring to life the word and glitter kingdom of cleopatra, queen of the nile, in a lush, sweeping, and richli detail saga of ancient egypt.margaretgeorg"
1709,9780330363686,Just Disgusting!,"australianfiction.in the tradit of just tricking!, just annoying!, just stupid! and just crazy!, andi griffith ha written nine highli original, humor new stori about andi g.includ a terribl agonis death by flesh-eat zombies, a battl with brussel sprout (the sprout win) and the disgust fact that cockroach can live for nine day without their head (they onli die becaus they starv to death).compl by imaginative, chaotic and downright disgust illustr by terri denton.andygriffith"
1710,9780330367349,Bridget Jones,"diaryfiction.th wilder year are over! but not for long. at the end of bridget jones"" diary, bridget hiccup off into the sunset with man-of-her-dream mark darcy. now, in the edg of reason, she discov what it is like when you have the man of your dream actual in your flat and he hasn't done the wash up, not just the whole of thi week, but ever.helenfield"
1711,9780330367479,Rumer Godden,british.th stori of an emot power writer and a woman of unusu strength of character.annechisholm
1714,9780330371247,Hot Six,"bailbondagents.""sexu temptation, homicid maniacs, car crash and doughnut addict are all in a day' work for stephani plum. now there' anoth male in her life. he' big, he' orange, and he howl when he' left alone. but noth could prepar her for the disast she face when grandma mazur move in. "" -- back cover.janetevanovich"
1715,9780330373579,The Sign of the Cross,"catholics.an insight and person examin of catholic in europe.for four year from 1990, colm tóibin made a seri of trip through cathol europe. the result is thi beauti wrought book. he show the complic and contradict of the cathol church, and tri to unravel how they in turn influenc a country' sens of nationalism. it is not quit a travelogue, nor is it autobiographical. rather it is a work that test both faith and the written word, a work that redefin what we have come to expect from non-fiction.colmtóibín"
1716,9780330375467,Them,"politicalleadership.*britain' funniest and most insight satirist investig the world of 'them' and 'us'*i there really, as the extremist claim, a secret room from which a tini elit secretli rule the world? and if so, can it be found? ""them: adventur with extremists"" is a romp into the heart of dark involv 12-foot lizard-men, pr-consciou ku klux klansmen, ian paisley, hollywood limousines, the legend of rubi ridge, noam chomsky, a harem of kidnap sex slaves, david icke, and nicola ceausescu' shoes.whil jon ronson attempt to locat the secret room, he is chase by men in dark glasses, unmask as a jew in the middl of a jihad train camp, and wit ceo and lead politician undertak a bizarr pagan owl ritual in the forest of northern california. he also learn some alarm thing about the looking-glass world of them and us. are the extremist right? or ha he becom one of them?jonronson"
1717,9780330398046,Just as Long as We're Together,"families.stephani and rachel have been best friend for years, in spite of their differences. alison is new in town, and immedi becom an integr part of their group. but is it possibl to have two best friends? and how can you call anyon a friend if you can't tell them your most pain secrets?judyblum"
1718,9780330411738,Hour Game,"fiction.baldacci' #1 ""new york times"" bestsel bring back sean king and michel maxwell--th unstopp duo from ""split second""--on the trail of two diabol killers, one of whom is copi the other--and steal the ""credit.""davidbaldacci"
1719,9780330412445,Bosnia,bosniaandhercegovina.thi work aim to set the war in the balkan in it full histor and polit context. thi edit includ a chapter cover the event between 1993 and 1995.noelmalcolm
1720,9780330418881,Every Boy's Got One,"americans.when cartoonist jane harris' best friend holli announc that she' elop to the italian riviera with longtim boyfriend mark, and ask jane to be her maid-of-honour, jane jump at the chance, delight by the prospect of her first ever trip to europe. what jane doesn't gambl on is mark' choic for best man, journalist cal langdon. it' hate at first sight for jane and cal. but when holli and mark' wed plan hit a major snag that onli jane and cal can repair, the two find themselv have to put asid their mutual dislik for one anoth in order to get their best friend on the road to wed bliss - and end up on a path neither of them ever expect to tread. . . told in diari form and in emails, everi boy' got one is a brilliant, funni and highli origin follow on to the intern success meg cabot adult novels, the guy next door and boy meet girl.boy meet girl: 'thi tale is a hoot' entertain weekli 'cabot' novel is delight fun to read' booklistmegcabot"
1721,9780330419123,Under the Banner of Heaven,mormonfundamentalism.krakau shift hi focu from extrem of physic adventur to extrem of religi belief in thi true stori of an appal doubl murder commit by two mormon fundamentalist brother who insist god command them to kill.jonkrakau
1722,9780330419154,Downsize This!,"americanwitandhumour.michael moor ha establish himself as someon who just won't shut up, go away, or otherwis do what polit and corpor fat cat would like him to do. he lift the veil on the peopl who set themselv up as role model and expos their vulner underbellies.michaelmoor"
1723,9780330419581,Marching Powder,"cocaineindustry.inspir by the descript of bolivia' san pedro prison in the ""lone planet"" guidebook, young decid to spend four month listen to inmat mcfadden and learn about one of the strangest place on earth.rustyyoung"
1724,9780330419642,Absolute Power,"murder.'accomplish and amaz - one of the hottest read around' daili mail set in washington d.c., thi fascin thriller of unparallel suspens dare to explor an unthink abus of power and crimin conspiracy: a viciou murder involv the us presid and a cover-up orchestrar by hi zealous loyal chief of staff and the secret service. but, unknown to the presid and hi lackeys, one unlik wit saw everything.trap behind a two-way mirror in a countri hous in maryland, luther whitney, a profession burglar, wit an event that destroy hi faith in justice. by the time he escapes, pursu by two secret servic agents, a young woman ha been sexual assaulted, then shot dead. and a breathtak cover-up ha been set in motion. 'baldacci' prose is fluent and amaz . . . thi book is sure to make a killing' the time 'a high-octan legal thriller. an almost shakespearian studi in the natur of evil - horror in it purest form' spectatordavidbaldacci"
1725,9780330433136,Chasing the Monsoon,"india.in 1987 frater wa abl to realiz hi dream of wit firsthand the most dramat of meteorolog events: the indian monsoon. he follow it from it ""burst"" on the beach of trivandrum, through delhi, calcutta and across bangladesh. the result is an illumin of the tower influenc of natur over the live and cultur of india and her people.alexanderfrat"
1726,9780330444576,Indecision,"fiction.dwight is onli twenty-eight, but he' have a midlif crisis. of course, live a dissolute, dorm like exist in a tini apart and work in tech support at pfizer - are not especi conduc to wisdom. hi biggest problem: a chronic inabl to make up hi mind. encourag by one of hi roommates, he swallow the first fate pill.benjaminkunkel"
1727,9780330481915,Blackout,"bombings.when a passeng craft goe down near cuba, is it an accident, a terrorist incident, or an attack by castro' regime? robert mccabe, washington journalist, ha receiv an enigmat messag from a just-murd friend, which suggest a lethal conspiraci is in motion.johnj.n"
1728,9780330484770,American Psycho,"americanfiction.an intern bestsel and true modern classic patrick bateman is twenty-six and work on wall street; he is handsome, sophisticated, charm and intelligent. he is also a psychopath. take us to a head-on collis with america' greatest dream – and it worst nightmar – american psycho is a bleak, bitter, black comedi about a world we all recogn but do not wish to confront.celebr 40 year of outstand intern writing, thi is one of the essenti picador novel reissu in a beauti new seri style.breteastonelli"
1729,9780330487108,The Mimic Men,"british.a profound and move and often humor novel that evok a coloni man' experi in the post-coloni world.a tolstoyan spirit... the so-cal thrid world ha produc no more brilliant literari artist' john updike, new yorker born of indian heritage, rais in the british-depend caribbean island of isabella, and educ in england, forty-year-old ralph singh ha spent a lifetim struggl against the torment of cultur displacement. now in exil from hi nativ country, he ha taken up resid at a quaint hotel in a london suburb, where he is write hi memoir in an attempt to impos order on a chaotic existence. hi memori lead him to recogn the cultur paradox and taint fantasi of hi coloni childhood and later life: hi attempt to fit in at school, hi short-liv marriag to an ostenati white woman. but it is the return of isabella and hi subsequ immers in the roil polit atmospher of a newli self-govern nation - everi kind of racial fantasi take wing - that ultim provid singh with the necessari insight to discov the crux of hi disillusionment. 'ambiti and successful... extrem perceptive' the time 'the sweep of naipaul' imagination, the brilliant fiction frame that express it, are in my view eithout equal today' new york time book reviewv.s.naipaul"
1730,9780330487146,A Bend in the River,"fiction.`brilli and terrifying`observ i had to be the man who wa do well and more than well, the man whose drab shop conceal some bigger oper that made millions. i had to be the man who had plan it all, who had come to the destroy town at the bend in the river becaus he had foreseen the rich future. `salim, the narrator, is a young man from an indian famili of trader long resid on the coast of center africa. salim ha left the coast to make hi way in the interior, there to take on a small trade shop of thi and that, sudries, sold to the natives. the place is “a bend in the river”; it is africa. the time is post-colonial, the time of independence. the european have withdrawn or been forc to withdraw and the scene is one of chaos, violent change, war tribes, ignorance, isolation, poverti and a lack of prepart for the modern world they have entered, or partial assum as a sort of decoration. it is a stori of histor upheav and social breakdown. naipaul ha fashion a work of intens imagin force. it is a haunt creation, rich with incid and human bafflement, play out in an immens detail of landscap render with a poignant brilliance.`elizabeth hardwick `alway a master of fiction landscape, naipaul here shows, in hi varieti of human exampl and in hi search for underli social causes, a tolstoyan spirit`john updikev.s.naipaul"
1731,9780330487153,The Enigma of Arrival,"england.perhap naipaul' most autobiograph work, thi is the stori of a writer' singular journey from the british coloni of trinidad to the ancient countrysid of england.v.s.naipaul"
1732,9780330487191,A House for Mr Biswas,"autonomy(psychology)..a hous for mr biswa is v.s. naipaul' unforgett third novel. born the ""wrong way"" and thrust into a world that greet him with littl more than a bad omen, mohun biswa ha spent hi 46 year of life strive for independence. but hi determin effort have met onli with calamity. shuttl from one resid to anoth after the drown of hi father, mr biswa yearn for a place he can call home. he marri into the domin tulsi family, on whom he becom indignantli dependent, but rebel and take on a success of occup in an arduou struggl to weaken their hold over him and purchas a hous of hi own. heartrend and darkli comic, a hous for mr biswa master evok a man' quest for autonomi against the backdrop of post-coloni trinidad. 'a marvel prose epic that match the best 19th centuri novels' newsweekvidiadharsurajprasadnaipaul"
1733,9780330488150,The Hunters,"americanfiction.two short novel by the author of the last life.'a simpl tale' tell the stori of maria poniatowski: her childhood in the ukraine; her incarcer in a nazi prison camp in poland; and her life as an emigrant, work as a domest in toronto. maria is now old, but not yet retired; her sole client is the ancient, demand mr ellison. maria reflect on all that ha happened, on her relationship with her family, with mr ellison, with the countri she left behind and the countri in which she lives. 'a simpl tale' is a move stori of a life and a century.'th hunters' is the tale of an american academ do research one summer in london, and the odd and disconcert relationship she (or he?–th narrat remain a nameless and ungend voice) develop with her downstair neighbour, ridley wandor. messud vividli captur the swelter ugli of london in the summer, and the sinist aspect of it grimmer quarters. 'the hunters' is a mysteri story–powerful, haunt and accomplished.clairemessud"
1734,9780330490269,Dirt Music,"fiction.âe~generous, earthi and raw . . . mysteri donâe(tm)t come more heartfelt than thisâe(tm) independ georgi jutland is a mess. at forty, with her career in ruins, she find herself strand with a fisherman she doesnâe(tm)t love and two kid whose dead mother she can never replace. her day have fallen into domest tedium and social isolation. her night are a blur of vodka and pointless loiter in cyberspace. one morning, in the boozi pre-dawn gloom, she look up from the comput screen to see a shadow lurk on the beach below, and a danger new element enter her life. luther fox, the local poacher. jinx. outcast. so begin an unlik alliance. set in the wild landscap of western australia, thi is a novel about the odd of break with the past, a love stori about peopl stifl by grief or regret, whose dream are lost, whose hope have dri up. itâe(tm) a journey across landscap within and without, about the music that sometim aris from the dust. âe~winton keep write fiction that make the novel feel aliv to a contin of possibilitiesâe(tm) even standard âe~winton is not a great australian novelist; he is a great novelist, full stopâe(tm) the timestimwinton"
1735,9780330491198,The Hitchhiker's Guide to the Galaxy,"dent,arthur(fictitiouscharacter).adams' belov and endur sci-fi/comedi classic is now avail in thi beautiful, clothbound, elegantli present book, fill with never-before-publish material, origin script from the bbc radio series, and much more to pleas ani fan.douglasadam"
1737,9780333666388,City on the Seine,"paris(france).andrew trout' new book on pari dure the period preced the end loui xiv' reign is a fascin social histori of the citi anchor by the live of two of it most famou citizens: cardin richelieu and loui xiv. begin with the emerg of richelieu as a polit forc and conclud with the end of loui xiv' reign, trout describ the citi as it look dure the seventeenth centuri and answer a myriad of interest questions: did the hous have numbers? were residenti build flush with the street? what wa anyon like to see along the river seine? by answer such questions, trout construct a social histori of the citi that is unequalled. trout' book is illustr with map and engrav that bring the citi to life. citi on the sein is an indispens work of social history.andrewp.trout"
1738,9780333904916,Fire on the Mountain (Hb),"antislaverymovements.eighteenth-centuri britain wa the world' lead expon of the slave trade: profit soar and among the beneficiari were the church of england and london' tate gallery. yet in the space of a few short years, begin in 1788, a group of abolitionist move the caus of anti-slaveri to the veri centr of british polit life, from the floor of parliament to the home of 300,000 peopl boycot caribbean sugar. at their head wa thoma clarkson, a divin student who travel 35,000 mile on horseback document abuses, talk to supporters, and evad attempt on hi life. with granvil sharp and jame phillip he found the societi for effect the abolit of the slave trade, and gave platform to freed slave such as olaudah equiano, who had experienc the horror in full. clarkson' movement resembl noth england had ever seen before: outsid both parliament and church, it wa the first major embodi of the forc that today we call civil society, and hochschild, draw on the volumin letter and journal of the charact involved, bring it compellingli to life.adamhochschild"
1739,9780334028963,"The Poet, the Warrior, the Prophet","religion.rain maria rilke, gabriel garcia marquez, emili dickinson, albert camus, sigmund freud and the tao te ching are just some of the influenc evid in thi book which bring poetri to bear on theology. an atmospher of wonder and vision is creat - as when, for example, through the magic of isak dinesen' babette' feast, alv evok a pictur of `word which are good to be eaten' - which in turn lead to a medit on politics, propheci and the theme of resurrection.rubema.alv"
1740,9780340425626,From Russia with Love,adventurestories.ag 007 raakt bij zijn werk in moskou onder de bekor van een knapp medewerkst van de russisch geheim dienst.ianflem
1741,9780340425671,Casino Royale,"bond,james(fictitiouscharacter).th legend continu get readi to enjoy more thrill and spill with the world' greatest secret agent in the latest addit to thi classic action seri thi is the stori that introduc us to jame bond. he' charming, sophist and handsom but also chillingli ruthless and veri deadly. in hi first mission, jame must neutral a russian oper by ruin him at the baccarat tabl and forc hi 'retirement'. ladi luck appear to be taken with bond as hi target hit a lose streak, but bond' attract to a beauti femal agent lead him to disaster... thi new edit also featur an new introduct by and background materi creat exclus for thi seri on the literari histori of bond.ianflem"
1743,9780340637876,How the Irish Saved Civilization,"books.ireland play the central role in maintain european cultur when the dark age settl on europ in the fifth century: as rome wa sack by visigoth and it empir collapsed, ireland becam 'the isl of saint and scholars' that enabl the classic and religi heritag to be saved. in hi compel and entertain narrative, thoma cahil tell the stori of how irish monk and scrine copi the mauscript of both pagan and christian writers, includ homer and aristotle, while librari on the contin were lost forever. bring the past and it charact to life, cahil captur the sensibl of the unsung irish who relaunch civilisation.thomascahil"
1744,9780340654163,Escape,"fiction.dur the chao follow the shah' departur from iran, erikki yokkomen, a finnish helicopt pilot, tri to reach safeti with hi iranian-born wife, azadehjamesclavel"
1745,9780340689608,Flatmates,"apartments.flatm fiona, kerri and linzi have problem enough squabbl over the itemis phone bill and whose turn it is to do the wash up. but noth can prepar them for the chao which ensu when linzi' latest boyfriend arriv on the scene. gorgeou but feckless, gaetano spell troubl with a capit 't'. and soon event are spiral out of everyone' control . . .chrismanbi"
1746,9780340692912,Crucifix Lane,"london(england).a well as be a grip thriller, crucifix lane explor topic issu such as genet engineering, and weav in celtic mytholog in an origin and invent way.katemoss"
1747,9780340766163,Shōgun,"british.thi is jame clavell' tour-de-force; an epic saga of one pilot-major john blackthorne, and hi integr into the struggl and strife of feudal japan. both entertain and incisive, shogun is a stunningli dramat re-creat of a veri differ world. start with hi shipwreck on thi most alien of shores, the novel chart blackthorne' rise from the statu of revil foreign up to the height of trust advisor and eventually, samurai. all as civil war loom over the fragil country.jamesclavel"
1748,9780340766187,Whirlwind,"fiction.thi is the stori of three week of fanaticism, passion, self-sacrific and heartbreak in tehran in februari 1979. caught between the revolutionari and the forc of intern intrigu is a team of profession pilots. two of them have iranian wive they love beyond safeti and politics.jamesclavel"
1749,9780340769201,Running Away from Richard,"actresses.just graduat from drama school, lizzi jordan is look forward to a glitter career at the rsc. she' also look forward to becom mr richard adam (lizzi just know that her live-in artist boyfriend is about to propos ani day now). so how come, just one month later, lizzi find herself share a cockroach-infest hous in venic beach, work as a waitress in a notori transvestit bar, and pretend to be the fiance of one of the hottest director in hollywood; a man who just happen to be gay? whi doe life never seem to work out the way lizzi jordan planned?chrismanbi"
1750,9780340774779,"The Road to War, 1933-1939","germany.thi text use a source-bas approach to studi the origin of world war ii. activ and end-of-chapt question are pitch at intermedi level 1 and 2, and exam structur and extended-respons question are also covered.andrewhunt"
1751,9780340796146,Five on a Treasure Island,adventurestories.th first adventur for the famou five involv a ruin castl and buri treasure.enidblyton
1752,9780340796153,Five Go Adventuring Again,"children'sstories.th famou five--julian, dick, anne, george, and timmy--ar determin to find out who is respons for the theft at kirrin cottag and the discoveri of an old map and a veri unusu hide place point to a suspect.enidblyton"
1753,9780340796184,Five Go to Smuggler's Top,"children'sstories.thi is one in a seri of famou five reissues, illustr with the origin drawings, in full colour by eileen soper.enidblyton"
1754,9780340796313,Five Get Into a Fix,"adventurestories,english.new and contemporari cover treatment bring the famou five into the 21st century, and to a whole new gener of readers!enidblyton"
1755,9780340796344,Five Have a Mystery to Solve,children'sstories.th famou five investig the creepi stori surround whisper island and discov they are not alone.enidblyton
1756,9780340820469,On Writing,"authors,american.an autobiograph portrait of stephen king' home life, hi famili and hi traumat recent accident. he offer an insight into hi world as well as analysis, advic and instruct on writing. find out what book and film influenc the young writer, hi first idea for a story, the true life tale that inspir carrie. cite exampl of hi work and those of hi contemporari such as john grisham and raymond chandler, king give tip for writer on how to avoid pitfal and how to use the tool of the trade from build charact to pace and plotting, the import of dialogu and descript - as well as practic advic on present and representation. discov the symbolism, theme and the three deep interest that power all hi work.stephenk"
1757,9780340828069,Girl Meets Ape,"animalsanctuaries.he' the king of the swingers. but she' the ice queen. when dr jennif niederhaus becom head of the chimpanze project at prowd anim sanctuary, the uptight young zoologist look forward to make her mark in the conserv world. but the regim is ramshackle, the chimpanze uncontrol and her first meet with head keeper guy gibson find him nake and cover in babi oil. she decid never to work with anim or the childish again. but, she may not have a job for much longer anyway - prowd is in big financi trouble. salvat come in the form of a tv documentary. prowd need the money and exposure. but doe jennif need to be expos to the show' smooth presenter, chimpanze expert dr timothi lauder? the ultim alpha male.chrismanbi"
1758,9780340829776,The Waste Lands,"adventurefiction.ther are new evils, new danger to threaten roland' littl band in the devast citi of lud and the surround wastelands, as well as horrif confront with blain the mono, the pirat gasher, and the frighten tick-tock man.stephenk"
1759,9780340831205,The Art of Happiness at Work,"buddhism.follow the massiv success of the art of happiness, the dalai lama & howard cutler now bring their bestsel messag to our work lives. of the mani dalai lama titl on sale, the art of happi - written with western psychiatrist howard cutler - is by far the biggest bestsel of them all. a huge intern success, it ha sold over 2 million copi worldwide, with nearli 300,000 of these in the uk alone. now, thi inspir new book bring the success east-meets-west pair togeth again to provid a practic applic of tibetan buddhist spiritu valu to the world of work. in thi wise and practic book, the dalai lama show us how to place our work live into the context of our live as a whole. rather than strive to find a role which suit us, we should allow our work to aris natur from who we are - and what is most import to us. from here we reach a pathway that can lead us to true life fulfil and purpose.dalailamaxivbstan-ʼdzin-rgya-mtsho;howardc.cutl"
1760,9780340837955,Stranger in a Strange Land,"sciencefiction.epic, entertaining, stranger in a strang land caus controversi and uproar when it wa first published. still topic and challeng today, the stori of valentin michael smith, the first man from mar to visit earth, is in the great tradit of stori that endur through the power of the author' imagin that stretch from gulliver' travel to 1984roberta.heinlein"
1762,9780340850626,Interstellar Pig,"human-alienencounters.barney' new next-door neighbour are unlik anyon he' ever met - utterli charming, slightli odd, and complet obsess with a board game. when they invit barney to join them in a game of interstellar pig, he' delighted, until thing start to get a littl strange.williamsl"
1763,9780340878750,Nightingale's Song,"juvenilefiction.whil work in her father' tavern one evening, maggi nightingal overhear a dark plan which compel her to join a smuggler and flee on a ship to the new world in an attempt to escap the threat that haunt her.katepennington"
1764,9780340917541,The Secret Seven,adventurefiction.seven children and a dog find a stolen race hors after some late night adventur with thieves.enidblyton
1767,9780345251220,Visions from Nowhere,"sciencefiction.th first novel in the series, ""return to the planet of the apes, "" in which astronauts, out of their time period, becom involv with a societi domin by apes.williamarrow"
1770,9780345296917,The Centurions,fiction.two half-broth find romanc and adventur as they fight for the glori of the roman empiredamionhunt
1771,9780345301116,Story of O,"fiction.befor fifti shade of grey there wa stori of o, the notori novel of dark obsess that introduc the world to erot fiction. how far will a woman go to express her love? in thi exquisit and taboo novel of passion and desire, the answer emerg through a dare explor of the deepest bond of sensual domination. ""o"" is a beauti parisian fashion photographer, determin to understand and prove her consum devot to her lover, rené, through complet submiss to hi everi whim, hi everi desire. it is a journey of forbidden, danger choic that sweep her through the secret garden of the sexual underground. from the inner sanctum of a privat club where will women are school in the art of subjug to the excruci embrac of rené' friend sir stephen, o test the outermost limit of pleasure. for as o discovers, true freedom lie in her pure and complet willing to do anyth for love.paulineréag"
1772,9780345302359,The Crucible of Time,"fiction.trac the develop over milennia of a civil of an unusu alien species, whose sens of humor, resourc adaptibility, and metalwork skill are the strength and the hope of their societyjohnbrunn"
1773,9780345305183,On a pale horse,"fiction.zan belong to a world in which the scientif revolut ha been follow by the revolut of magic, and he is thrust into the role of death.piersanthoni"
1774,9780345316509,"Job, a Comedy of Justice","fiction.on vacat in polynesia, alex hergensheim experi a seri of world-changes, all of which point to armageddon and reveal him to be a pawn in the ancient feud between god and lucifer.robertansonheinlein"
